"","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc"
"20860",1443772,0,8,"Female","White",2014,"Computer Science","","","","","","","West Hartford","CT","West Hartford, CT"
"20863",1444360,0,8,"Female","Asian",2014,"Computer Science","","","","","","","Providence","RI","Providence, RI"
"20925",183793,0,27,"Female","Black or African American",2015,"Computer Science","","","","","","","Dorchester","MA","Dorchester, MA"
"21030",1463220,0,8,"Female","Asian",2015,"Computer Science","","","","","","","Boston","MA","Boston, MA"
"21103",1602881,0,8,"Female","White",2015,"Computer Science","","","","","","","Marblehead","MA","Marblehead, MA"
"21138",1449362,0,6,"Female","",2016,"Computer Science","Psychology","Web Design and Development","","","","","Stoughton","MA","Stoughton, MA"
"21243",1477536,0,6,"Female","Native Hawaiian/Pacific Islander",2016,"Computer Science","Environmental Science","Biostatistics","","","","","Daly City","CA","Daly City, CA"
"21295",1482239,0,7,"Female","Asian",2016,"Computer Science","","Graphic Design","Psychology","","","","Bangkok","","Bangkok, "
"21327",1587939,0,5,"Female","Black or African American",2016,"Computer Science","","","","","","","Denver","CO","Denver, CO"
"21335",1601994,0,5,"Female","Asian",2016,"Computer Science","Health Informatics","Computer Science","Health Care Management","","","","Quincy","MA","Quincy, MA"
"21433",1494699,0,6,"Female","Asian",2017,"Computer Science","Information Technology","","","","","","Bedford","NH","Bedford, NH"
"21456",1532859,0,5,"Female","White",2017,"Computer Science","","Business and Management","","","","","East Hartford","CT","East Hartford, CT"
"21506",1564560,0,6,"Female","White",2017,"Computer Science","Information Technology","Sociology","","","","","Burlington","MA","Burlington, MA"
"21532",1587640,0,6,"Female","Black or African American",2017,"Computer Science","","","","","","","San Antonio","TX","San Antonio, TX"
"21546",1593088,0,5,"Female","White",2017,"Computer Science","Marketing","","","","","","Lincoln","RI","Lincoln, RI"
"21580",1598288,0,5,"Female","White",2017,"Computer Science","","","","","","","Wilmington","DE","Wilmington, DE"
"21594",1600833,0,6,"Female","White",2017,"Computer Science","","","","","","","Newburyport","MA","Newburyport, MA"
"21620",1604560,0,6,"Female","White",2017,"Computer Science","Data Science & Analytics","Social Work","","","","","Whitman","MA","Whitman, MA"
"21624",1605603,0,5,"Female","",2017,"Computer Science","Web Design and Development","","","","","","Fairlawn","VA","Fairlawn, VA"
